close,open,high,low,volume
1110.97000000,1111.98000000,1118.82000000,1110.35000000,3601.82502000
1105.69000000,1110.87000000,1111.00000000,1101.00000000,3790.08288000
1107.61000000,1105.40000000,1117.29000000,1105.00000000,4234.00124000
1100.17000000,1107.52000000,1109.23000000,1099.39000000,4782.96934000
1100.00000000,1099.43000000,1102.92000000,1094.34000000,4444.18866000
1102.18000000,1098.61000000,1105.82000000,1093.20000000,4578.20973000
1111.91000000,1101.90000000,1112.60000000,1101.58000000,3094.40938000
1109.87000000,1112.45000000,1112.99000000,1104.60000000,2123.16924000
1107.52000000,1109.87000000,1112.44000000,1106.89000000,1578.85863000
1110.81000000,1107.74000000,1114.77000000,1107.72000000,1971.71533000
1119.26000000,1110.81000000,1120.00000000,1110.65000000,2968.31756000
1119.01000000,1118.53000000,1124.33000000,1114.77000000,3655.08296000
1114.72000000,1119.01000000,1120.26000000,1113.84000000,1988.78288000
1111.93000000,1114.73000000,1114.97000000,1106.67000000,1975.08732000
1108.03000000,1111.51000000,1113.60000000,1107.32000000,1977.52134000
1102.32000000,1107.73000000,1107.89000000,1101.60000000,1560.18639000
1101.71000000,1102.32000000,1103.40000000,1096.62000000,2188.85694000
1103.83000000,1101.71000000,1105.99000000,1097.55000000,3465.21006000
1094.97000000,1103.82000000,1104.08000000,1093.43000000,2285.61962000
1092.68000000,1095.46000000,1100.29000000,1091.77000000,3304.80855000
1095.45000000,1092.63000000,1098.44000000,1092.10000000,2343.23336000
1083.36000000,1095.45000000,1095.87000000,1083.36000000,5071.85609000
1079.94000000,1083.51000000,1086.92000000,1077.71000000,9284.54734000
1081.16000000,1079.93000000,1083.99000000,1075.50000000,4781.70415000
1070.00000000,1080.30000000,1081.58000000,1070.00000000,6573.75897000
1058.83000000,1070.00000000,1071.82000000,1056.00000000,13582.45571000
1059.09000000,1059.24000000,1070.00000000,1050.00000000,18339.63252000
1051.80000000,1059.08000000,1059.99000000,1047.49000000,10427.89322000
1056.19000000,1051.98000000,1057.78000000,1042.38000000,10462.02747000
1069.32000000,1056.33000000,1070.34000000,1051.22000000,6730.51536000
1062.91000000,1069.32000000,1071.97000000,1060.02000000,5993.37598000
1055.44000000,1062.85000000,1062.90000000,1049.00000000,6824.33714000
1059.63000000,1055.46000000,1060.40000000,1049.00000000,7128.07075000
1058.74000000,1059.39000000,1062.42000000,1054.25000000,4200.99365000
1064.14000000,1058.27000000,1064.52000000,1054.43000000,3975.18973000
1075.70000000,1063.53000000,1076.85000000,1061.03000000,6641.95644000
1073.53000000,1075.71000000,1076.08000000,1069.69000000,6016.75396000
1068.52000000,1073.38000000,1076.46000000,1068.51000000,4180.38214000
1067.09000000,1069.01000000,1070.00000000,1060.56000000,5884.82215000
1076.91000000,1067.41000000,1080.00000000,1066.34000000,3486.41722000
1085.40000000,1076.93000000,1086.85000000,1075.69000000,4599.48381000
1083.23000000,1085.08000000,1087.18000000,1078.39000000,4444.74748000
1080.52000000,1083.63000000,1087.23000000,1079.19000000,6572.74043000
1084.80000000,1080.49000000,1085.91000000,1080.45000000,2628.72670000
1080.08000000,1084.79000000,1086.66000000,1080.01000000,3068.57814000
1072.52000000,1080.13000000,1082.64000000,1072.30000000,3862.55521000
1076.12000000,1072.84000000,1077.17000000,1065.30000000,4360.06050000
1074.99000000,1076.12000000,1080.00000000,1068.41000000,6768.64428000
1083.11000000,1074.90000000,1084.60000000,1074.89000000,5408.16950000
1090.99000000,1083.03000000,1095.37000000,1081.86000000,11849.08281000
1092.81000000,1090.94000000,1096.40000000,1089.79000000,2407.51194000
1089.50000000,1092.73000000,1093.15000000,1088.06000000,2645.64653000
1084.99000000,1089.74000000,1090.23000000,1083.33000000,3422.16847000
